faceMatch,panMatched,livenessPassed,ocrConfidence,status
87,1,1,95,0
86,1,1,96,0
27,1,1,82,2
23,1,1,79,2
82,1,1,80,0
45,1,1,77,1
63,1,1,76,1
95,1,1,66,1
89,1,1,83,0
70,1,1,62,1
50,1,1,63,1
89,0,1,97,1
60,1,1,77,1
82,1,1,91,0
35,1,1,100,2
69,1,1,81,1
33,1,1,63,2
97,1,1,89,0
65,1,1,77,1
71,1,1,73,0
35,0,1,67,2
98,0,1,77,1
34,1,1,80,2
64,0,1,95,1
66,1,1,61,1
27,1,1,93,2
22,1,1,80,2
40,1,1,96,1
30,1,1,64,2
93,1,1,73,0
25,1,1,97,2
31,0,1,97,2
88,1,1,81,0
39,1,1,90,2
42,1,1,70,1
70,1,1,76,0
37,1,1,86,2
32,1,1,87,2
46,1,1,75,1
57,1,1,75,1
30,1,1,60,2
83,1,1,84,0
88,1,1,72,0
34,1,1,94,2
97,1,1,82,0
85,1,0,63,2
43,1,1,64,1
76,0,1,98,1
54,1,1,90,1
44,1,1,84,1
97,1,0,63,2
72,1,1,80,0
100,1,0,70,2
74,1,1,73,0
62,1,1,75,1
46,1,1,74,1
97,1,1,72,0
91,1,1,98,0
20,1,1,90,2
86,1,1,88,0
48,0,1,63,2
53,1,1,90,1
89,1,1,76,0
79,1,1,61,1
83,1,1,90,0
32,1,1,94,2
93,1,1,78,0
71,1,1,64,1
26,1,1,71,2
97,1,1,62,1
47,1,1,77,1
63,1,0,79,2
64,0,1,66,1
39,1,1,71,2
99,1,1,86,0
84,1,1,63,1
26,1,1,61,2
97,1,1,94,0
43,1,1,96,1
61,1,1,67,1
21,1,1,91,2
22,1,0,67,2
23,1,1,83,2
23,1,1,78,2
66,1,1,75,1
84,1,1,78,0
48,1,0,66,2
35,0,1,71,2
45,1,1,67,1
81,1,1,96,0
22,1,1,73,2
46,1,1,77,1
87,1,1,78,0
69,0,1,61,1
76,1,1,86,0
68,1,1,81,1
53,1,1,86,1
71,1,1,94,0
89,1,1,85,0
52,1,1,99,1
62,1,1,60,1
83,1,1,97,0
59,0,1,62,1
23,1,1,93,2
98,1,1,60,1
36,0,1,73,2
94,1,1,66,1
46,1,1,83,1
63,1,0,66,2
58,0,1,80,1
28,1,1,88,2
37,1,1,64,2
96,1,0,61,2
56,1,1,96,1
79,1,1,93,0
38,1,1,77,2
21,1,1,96,2
81,0,1,100,1
70,1,1,66,1
46,1,1,94,1
62,0,1,64,1
88,1,1,84,0
71,1,0,93,2
83,0,1,94,1
44,1,1,85,1
24,1,1,74,2
56,1,1,62,1
95,1,1,91,0
41,0,1,71,2
68,1,1,61,1
88,1,1,65,1
32,1,1,97,2
39,1,1,76,2
40,1,1,88,1
74,1,1,85,0
48,1,1,68,1
88,0,1,71,1
97,1,0,63,2
66,1,1,94,1
21,1,1,92,2
29,1,1,87,2
100,1,1,72,0
26,1,1,90,2
40,1,1,77,1
45,1,1,88,1
89,1,1,91,0
25,1,1,60,2
36,1,1,90,2
25,1,1,95,2
45,0,1,65,2
88,1,1,61,1
43,1,1,69,1
77,1,1,89,0
63,1,1,60,1
55,1,1,89,1
62,1,1,88,1
75,1,1,65,1
25,1,1,89,2
23,1,1,94,2
76,1,0,65,2
97,1,1,75,0
36,1,1,75,2
99,1,1,86,0
64,1,1,85,1
32,1,1,97,2
24,1,1,74,2
68,1,1,72,1
66,0,1,61,1
65,1,1,88,1
58,1,1,99,1
41,1,1,99,1
94,1,1,64,1
53,0,1,91,2
60,1,1,80,1
88,1,1,84,0
91,0,1,67,1
61,1,1,100,1
55,1,1,84,1
37,0,1,63,2
81,1,1,68,1
45,1,1,96,1
55,1,1,93,1
48,1,1,61,1
37,1,1,80,2
43,1,1,77,1
30,1,1,64,2
47,1,1,94,1
35,1,1,83,2
90,1,1,96,0
89,0,1,83,1
44,1,1,85,1
73,1,1,80,0
83,1,1,74,0
68,1,1,96,1
63,1,1,79,1
87,1,1,73,0
25,1,1,62,2
80,1,1,86,0
39,1,1,73,2
66,1,1,96,1
58,1,1,79,1
36,1,1,84,2
43,1,1,68,1
52,1,1,97,1
38,1,1,64,2
21,1,1,67,2
98,1,1,69,1
74,1,1,62,1
46,1,1,62,1
20,1,1,98,2
37,1,1,92,2
98,0,1,97,1
29,1,1,72,2
55,1,1,85,1
59,1,1,94,1
95,1,0,62,2
51,1,1,94,1
56,1,1,82,1
89,1,1,65,1
24,0,1,71,2
26,1,1,65,2
38,1,1,94,2
44,1,1,77,1
70,1,1,77,0
76,1,1,78,0
57,1,1,60,1
99,1,1,85,0
58,1,1,97,1
30,1,1,85,2
89,1,1,76,0
80,1,1,72,0
37,1,1,88,2
90,1,1,89,0
60,1,1,96,1
64,1,1,93,1
52,1,1,69,1
47,1,1,68,1
26,1,1,96,2
64,1,1,85,1
76,0,1,60,1
22,1,1,69,2
95,1,1,99,0
48,1,1,77,1
92,0,1,87,1
44,0,1,95,2
59,1,1,63,1
91,0,1,62,1
65,1,1,66,1
61,1,1,93,1
20,1,1,80,2
76,0,1,93,1
54,1,0,96,2
100,1,1,70,0
94,1,1,82,0
90,1,1,89,0
97,1,1,65,1
49,1,1,78,1
44,0,1,61,2
95,1,1,81,0
34,1,1,94,2
29,1,1,68,2
72,1,1,60,1
67,1,1,99,1
51,1,1,88,1
55,0,0,67,2
57,1,1,69,1
91,1,1,70,0
64,1,1,89,1
26,1,1,62,2
65,1,0,83,2
97,1,1,93,0
61,1,1,63,1
85,1,1,89,0
79,1,1,73,0
52,1,1,68,1
91,0,0,71,2
51,1,1,90,1
85,1,1,84,0
25,1,1,70,2
42,1,1,79,1
23,1,1,87,2
43,1,1,64,1
76,1,1,70,0
38,1,1,93,2
83,1,1,92,0
63,1,1,91,1
64,1,1,74,1
25,1,1,88,2
21,1,1,67,2
54,1,1,98,1
87,1,1,64,1
41,1,1,70,1
53,1,1,85,1
47,1,1,77,1
53,1,1,61,1
30,1,1,65,2
20,1,1,85,2
30,1,1,61,2
64,1,1,80,1
28,1,1,95,2
94,1,1,87,0
45,1,1,97,1
55,1,1,89,1
87,1,1,73,0
79,1,1,98,0
38,0,1,95,2
79,1,1,84,0
67,1,1,90,1
23,1,1,75,2
58,1,1,69,1
23,0,1,81,2
83,0,1,70,1
89,1,1,86,0
68,1,0,79,2
24,1,1,99,2
64,1,1,78,1
48,1,1,97,1
92,1,1,94,0
25,1,1,84,2
98,1,1,96,0
65,1,1,79,1
95,1,1,71,0
64,0,1,98,1
77,1,1,86,0
41,1,1,73,1
85,0,1,81,1
76,1,1,76,0
29,0,1,88,2
82,1,1,66,1
72,1,1,78,0
32,1,1,74,2
37,0,1,86,2
47,0,1,81,2
21,1,1,96,2
45,1,1,80,1
86,1,1,60,1
76,1,1,75,0
85,1,1,67,1
83,1,1,63,1
65,1,1,63,1
70,1,1,70,0
94,1,1,98,0
85,1,1,78,0
57,1,1,85,1
54,1,1,86,1
66,1,1,94,1
99,1,1,98,0
60,1,1,88,1
23,1,1,73,2
69,1,1,92,1
88,1,0,99,2
96,0,1,78,1
45,1,1,72,1
66,1,1,74,1
52,1,1,77,1
72,1,1,73,0
31,0,1,71,2
46,1,1,62,1
32,1,1,61,2
31,1,1,80,2
49,1,1,94,1
26,1,1,65,2
69,1,1,71,1
59,1,1,68,1
43,1,1,88,1
52,1,1,85,1
40,1,1,93,1
82,1,1,86,0
75,1,1,89,0
92,1,1,84,0
54,1,1,94,1
84,1,1,98,0
33,1,1,68,2
38,1,1,95,2
61,1,1,95,1
91,0,1,64,1
47,1,1,63,1
58,1,1,97,1
98,1,1,60,1
49,0,1,94,2
61,1,1,74,1
79,0,1,75,1
22,1,1,64,2
75,1,1,88,0
37,1,1,79,2
69,1,1,86,1
88,1,1,61,1
82,1,1,85,0
59,1,1,68,1
85,1,1,71,0
57,0,1,95,1
97,1,1,83,0
85,1,1,95,0
74,1,1,63,1
87,1,1,65,1
87,1,1,82,0
62,1,1,100,1
20,1,1,65,2
94,1,1,93,0
50,1,1,70,1
29,1,1,99,2
99,1,1,69,1
22,1,1,63,2
42,1,1,90,1
82,1,1,92,0
73,1,1,86,0
70,1,1,70,0
92,1,1,94,0
88,1,1,82,0
67,1,1,61,1
47,1,1,81,1
21,1,1,82,2
82,1,1,78,0
23,1,1,80,2
49,1,0,94,2
23,0,1,64,2
65,1,1,68,1
100,1,1,87,0
96,0,1,90,1
56,1,1,94,1
28,1,1,66,2
31,1,1,67,2
56,1,1,97,1
69,1,1,75,1
42,1,1,89,1
82,1,1,64,1
57,1,1,84,1
82,1,1,76,0
91,1,1,72,0
32,1,1,91,2
96,1,1,93,0
91,1,1,96,0
78,1,1,65,1
31,1,1,86,2
53,1,1,63,1
53,1,1,85,1
77,1,0,83,2
38,1,1,67,2
73,0,1,76,1
30,1,1,75,2
33,1,1,96,2
54,1,1,69,1
96,1,1,66,1
21,1,1,64,2
88,1,1,87,0
47,1,1,68,1
93,0,1,91,1
80,1,1,65,1
72,1,1,65,1
75,1,1,78,0
84,1,1,73,0
38,1,1,75,2
38,1,1,67,2
33,1,1,82,2
91,1,1,68,1
43,0,1,80,2
52,1,1,62,1
29,1,1,65,2
25,1,1,86,2
83,1,1,94,0
33,1,1,89,2
90,1,1,95,0
69,1,1,76,1
60,1,1,84,1
60,1,1,68,1
97,1,1,82,0
57,0,1,67,1
50,1,1,89,1
94,1,1,97,0
88,1,1,97,0
60,1,1,68,1
44,1,1,67,1
84,1,1,91,0
20,1,1,86,2
55,1,1,92,1
67,1,1,60,1
36,1,1,64,2
37,1,1,62,2
24,1,1,97,2
49,1,1,90,1
96,1,1,80,0
76,1,1,76,0
30,1,1,92,2
45,1,1,98,1
88,1,1,92,0
27,1,1,93,2
88,1,1,67,1
54,1,1,92,1
82,1,1,88,0
49,1,1,74,1
87,1,1,93,0
32,1,1,91,2
26,1,1,75,2
54,1,1,64,1
36,1,1,96,2
34,1,1,97,2
43,1,1,68,1
96,1,1,80,0
45,0,1,67,2
22,0,1,98,2
43,0,1,64,2
24,1,1,85,2
63,1,1,87,1
100,1,1,68,1
95,1,1,76,0
83,1,1,81,0
83,1,1,92,0
32,1,1,67,2
97,1,1,86,0
48,1,1,60,1
97,1,1,83,0
21,1,1,64,2
67,1,1,100,1
69,1,1,80,1
78,1,1,98,0
62,1,1,72,1
58,1,1,100,1
33,1,1,73,2
33,1,0,72,2
44,1,1,92,1
77,1,0,73,2
50,1,1,72,1
93,1,1,93,0
38,0,1,99,2
26,0,1,96,2
100,1,1,88,0
83,1,1,90,0
32,0,1,78,2
60,0,1,75,1
82,1,1,82,0
35,1,1,62,2
29,1,1,80,2
92,1,1,92,0
77,1,1,86,0
84,1,1,75,0
82,1,1,68,1
78,1,1,71,0
48,1,0,77,2
83,0,0,81,2
66,1,1,85,1
41,1,1,95,1
39,1,1,82,2
22,1,1,95,2
65,1,1,86,1
35,0,1,94,2
99,1,0,63,2
59,1,1,60,1
79,1,1,77,0
24,1,1,61,2
83,1,1,66,1
46,1,1,92,1
51,0,1,61,2
61,1,0,70,2
76,1,1,89,0
78,1,1,70,0
53,1,1,60,1
42,1,0,96,2
81,1,1,97,0
59,1,1,60,1
31,1,0,71,2
68,1,1,86,1
91,1,1,84,0
42,0,1,72,2
53,1,1,69,1
98,1,1,65,1
35,1,1,86,2
88,1,1,62,1
53,1,1,97,1
23,1,1,92,2
82,1,1,93,0
68,1,1,75,1
99,1,1,63,1
85,1,1,91,0
88,1,1,72,0
34,1,1,74,2
85,1,1,99,0
24,1,1,69,2
54,1,1,84,1
59,1,1,74,1
88,1,1,71,0
47,1,1,74,1
28,1,1,73,2
93,0,1,67,1
68,1,1,84,1
56,1,1,63,1
21,1,1,84,2
83,1,1,73,0
91,1,1,72,0
99,1,1,98,0
59,1,1,60,1
58,1,1,95,1
89,1,1,70,0
48,1,1,68,1
38,1,1,94,2
84,1,1,79,0
44,1,1,60,1
99,1,1,92,0
52,1,1,87,1
32,1,1,75,2
55,1,1,93,1
88,1,1,97,0
88,0,1,73,1
75,1,1,85,0
31,1,1,63,2
49,1,1,89,1
43,1,1,74,1
35,0,1,78,2
48,1,1,72,1
68,1,1,69,1
92,1,1,92,0
89,0,1,69,1
62,1,1,74,1
63,1,0,89,2
86,1,1,76,0
70,0,1,87,1
66,1,1,99,1
66,1,1,88,1
75,1,1,60,1
40,1,1,83,1
26,1,1,62,2
45,1,1,68,1
44,1,1,94,1
93,1,1,65,1
70,1,1,66,1
63,1,1,94,1
85,1,1,91,0
94,1,1,70,0
48,1,1,99,1
98,1,1,89,0
78,1,1,68,1
96,1,1,73,0
95,1,1,79,0
36,0,1,89,2
80,1,1,72,0
65,1,1,90,1
58,1,1,97,1
79,1,1,66,1
45,1,1,64,1
38,1,1,91,2
52,1,1,84,1
69,1,1,65,1
56,0,1,94,1
65,1,1,99,1
53,1,1,71,1
63,1,1,94,1
87,1,1,75,0
95,1,1,74,0
95,1,1,84,0
46,1,1,70,1
75,1,1,65,1
25,1,1,62,2
64,1,1,72,1
39,1,1,72,2
41,0,1,85,2
55,1,1,87,1
27,0,1,97,2
46,1,1,72,1
74,1,1,90,0
37,1,1,98,2
98,1,1,99,0
98,1,1,91,0
37,1,1,72,2
21,0,1,89,2
88,0,1,72,1
95,1,0,91,2
76,1,1,81,0
65,1,0,66,2
45,1,1,61,1
27,1,1,74,2
33,1,1,83,2
100,0,1,81,1
93,1,1,98,0
71,1,0,98,2
82,1,1,99,0
74,0,0,94,2
60,0,1,94,1
91,1,1,61,1
31,1,1,81,2
34,1,1,71,2
36,1,1,68,2
21,1,1,60,2
85,1,1,72,0
73,1,1,76,0
83,1,1,69,1
55,1,1,80,1
78,1,1,83,0
65,1,1,62,1
54,1,1,90,1
99,1,1,64,1
55,1,1,97,1
40,0,1,78,2
84,1,1,73,0
20,1,1,94,2
20,0,1,74,2
96,1,1,97,0
25,0,1,84,2
93,1,0,96,2
86,1,1,80,0
35,1,1,98,2
74,1,1,89,0
42,1,1,80,1
24,1,1,98,2
100,1,0,80,2
29,1,1,94,2
83,0,1,91,1
94,1,1,72,0
99,1,1,81,0
72,0,1,72,1
22,1,1,77,2
68,1,1,96,1
20,1,0,98,2
80,1,1,89,0
60,1,1,66,1
24,1,1,70,2
50,1,1,73,1
34,1,1,93,2
83,1,1,83,0
51,1,1,79,1
58,1,1,80,1
80,0,1,70,1
20,1,1,85,2
90,1,1,91,0
45,1,0,73,2
76,0,0,72,2
91,1,0,92,2
87,1,1,83,0
79,1,1,79,0
46,1,1,76,1
34,1,1,84,2
37,1,1,64,2
79,1,1,91,0
90,1,1,81,0
57,1,1,81,1
58,1,1,98,1
29,1,1,90,2
50,1,1,82,1
25,1,1,79,2
65,1,1,78,1
59,1,1,94,1
63,1,1,93,1
48,1,1,68,1
44,1,1,65,1
42,1,1,96,1
31,0,1,78,2
75,1,1,69,1
79,1,1,100,0
93,1,0,98,2
53,1,1,71,1
44,1,0,75,2
55,0,1,93,1
77,1,1,94,0
84,1,1,71,0
98,0,1,100,1
86,1,1,66,1
46,1,1,73,1
23,1,1,75,2
36,1,1,66,2
46,1,1,61,1
71,1,0,90,2
72,1,1,99,0
92,1,1,72,0
42,1,1,79,1
95,0,1,100,1
45,1,1,68,1
41,1,1,93,1
96,1,1,91,0
85,1,1,81,0
36,1,1,79,2
29,1,1,78,2
38,0,1,83,2
86,0,1,91,1
36,1,1,97,2
95,1,1,77,0
56,1,1,99,1
39,1,0,86,2
39,1,1,65,2
51,1,1,65,1
28,1,1,99,2
96,1,1,91,0
36,1,1,72,2
65,1,1,75,1
70,1,1,86,0
99,1,1,82,0
33,1,1,89,2
81,1,1,92,0
29,1,1,77,2
26,1,1,77,2
94,1,1,92,0
76,1,1,66,1
74,1,1,100,0
20,1,1,78,2
53,1,1,68,1
31,1,1,83,2
31,1,1,82,2
37,1,1,62,2
36,1,1,70,2
32,1,1,85,2
25,1,1,60,2
68,1,0,78,2
64,1,1,74,1
100,1,1,70,0
93,1,1,93,0
94,1,1,77,0
29,1,1,69,2
81,1,1,63,1
87,1,1,82,0
50,1,0,94,2
82,1,1,84,0
57,0,1,97,1
58,1,1,67,1
55,0,1,61,1
56,1,1,63,1
35,1,1,83,2
29,1,1,81,2
98,1,1,100,0
47,1,0,98,2
78,1,1,91,0
30,1,1,76,2
91,1,1,62,1
37,1,1,76,2
29,1,1,100,2
50,0,1,87,2
47,0,1,74,2
72,1,1,73,0
68,1,1,74,1
37,1,1,88,2
34,0,1,62,2
55,1,1,93,1
34,0,1,100,2
75,1,1,63,1
81,1,1,73,0
91,1,1,97,0
67,0,1,95,1
21,1,0,65,2
64,1,1,64,1
84,1,0,72,2
41,1,1,75,1
